Filename	Segment	posemo	negemo
289.txt	1	25.00	0.00
262.txt	1	40.00	0.00
276.txt	1	0.00	0.00
29.txt	1	50.00	0.00
15.txt	1	50.00	0.00
114.txt	1	0.00	0.00
100.txt	1	0.00	0.00
128.txt	1	12.50	0.00
470.txt	1	0.00	14.29
316.txt	1	16.67	0.00
302.txt	1	40.00	0.00
464.txt	1	0.00	0.00
458.txt	1	0.00	33.33
459.txt	1	100.00	0.00
303.txt	1	10.00	0.00
465.txt	1	0.00	0.00
471.txt	1	0.00	0.00
317.txt	1	25.00	25.00
129.txt	1	0.00	0.00
101.txt	1	50.00	0.00
115.txt	1	0.00	0.00
14.txt	1	0.00	0.00
28.txt	1	25.00	0.00
277.txt	1	25.00	0.00
263.txt	1	50.00	0.00
288.txt	1	0.00	0.00
275.txt	1	38.46	0.00
261.txt	1	50.00	50.00
249.txt	1	0.00	0.00
16.txt	1	33.33	0.00
103.txt	1	12.50	12.50
117.txt	1	100.00	0.00
498.txt	1	20.00	0.00
467.txt	1	33.33	0.00
301.txt	1	0.00	0.00
315.txt	1	10.00	0.00
473.txt	1	0.00	0.00
329.txt	1	33.33	0.00
328.txt	1	50.00	0.00
314.txt	1	0.00	0.00
472.txt	1	11.11	0.00
466.txt	1	0.00	0.00
300.txt	1	16.67	16.67
499.txt	1	0.00	0.00
116.txt	1	0.00	0.00
102.txt	1	0.00	0.00
17.txt	1	0.00	0.00
248.txt	1	0.00	0.00
260.txt	1	0.00	0.00
274.txt	1	0.00	0.00
258.txt	1	38.46	0.00
270.txt	1	38.46	0.00
264.txt	1	0.00	0.00
13.txt	1	0.00	0.00
106.txt	1	0.00	0.00
112.txt	1	0.00	0.00
489.txt	1	16.67	0.00
338.txt	1	100.00	0.00
304.txt	1	11.11	0.00
462.txt	1	0.00	0.00
476.txt	1	0.00	8.33
310.txt	1	100.00	0.00
477.txt	1	0.00	0.00
311.txt	1	10.00	0.00
305.txt	1	10.00	0.00
463.txt	1	0.00	0.00
339.txt	1	0.00	0.00
488.txt	1	50.00	0.00
113.txt	1	22.22	0.00
107.txt	1	0.00	0.00
12.txt	1	0.00	0.00
265.txt	1	4.76	0.00
271.txt	1	0.00	0.00
259.txt	1	38.46	0.00
298.txt	1	0.00	0.00
267.txt	1	11.11	0.00
273.txt	1	33.33	0.00
10.txt	1	0.00	0.00
38.txt	1	40.00	0.00
139.txt	1	0.00	0.00
111.txt	1	16.67	0.00
105.txt	1	33.33	0.00
449.txt	1	0.00	0.00
313.txt	1	50.00	0.00
475.txt	1	25.00	0.00
461.txt	1	75.00	0.00
307.txt	1	16.67	0.00
460.txt	1	0.00	0.00
306.txt	1	30.00	0.00
312.txt	1	16.67	0.00
474.txt	1	0.00	50.00
448.txt	1	0.00	0.00
104.txt	1	0.00	50.00
110.txt	1	0.00	0.00
138.txt	1	22.22	0.00
39.txt	1	20.00	0.00
11.txt	1	0.00	9.09
272.txt	1	13.33	0.00
266.txt	1	75.00	0.00
500.txt	1	50.00	0.00
299.txt	1	10.00	0.00
201.txt	1	10.00	10.00
215.txt	1	0.00	0.00
229.txt	1	0.00	25.00
76.txt	1	0.00	0.00
188.txt	1	33.33	0.00
62.txt	1	0.00	0.00
89.txt	1	25.00	0.00
177.txt	1	25.00	0.00
163.txt	1	0.00	0.00
375.txt	1	16.67	0.00
413.txt	1	0.00	0.00
407.txt	1	100.00	0.00
361.txt	1	0.00	25.00
349.txt	1	25.00	0.00
348.txt	1	0.00	0.00
406.txt	1	50.00	0.00
360.txt	1	10.00	0.00
374.txt	1	50.00	0.00
412.txt	1	0.00	0.00
162.txt	1	0.00	0.00
88.txt	1	7.69	0.00
176.txt	1	16.67	0.00
63.txt	1	30.00	0.00
77.txt	1	20.00	0.00
189.txt	1	25.00	0.00
228.txt	1	0.00	0.00
214.txt	1	0.00	0.00
200.txt	1	50.00	0.00
216.txt	1	33.33	0.00
202.txt	1	0.00	0.00
49.txt	1	0.00	0.00
61.txt	1	20.00	0.00
75.txt	1	0.00	0.00
160.txt	1	25.00	0.00
174.txt	1	11.11	0.00
148.txt	1	0.00	0.00
389.txt	1	0.00	0.00
362.txt	1	33.33	0.00
404.txt	1	100.00	0.00
410.txt	1	0.00	0.00
376.txt	1	0.00	0.00
438.txt	1	28.57	0.00
439.txt	1	25.00	0.00
411.txt	1	33.33	0.00
377.txt	1	16.67	0.00
363.txt	1	0.00	0.00
405.txt	1	22.22	0.00
388.txt	1	0.00	0.00
149.txt	1	50.00	0.00
175.txt	1	0.00	0.00
161.txt	1	0.00	0.00
74.txt	1	50.00	0.00
60.txt	1	0.00	0.00
48.txt	1	0.00	0.00
203.txt	1	16.67	0.00
217.txt	1	0.00	0.00
213.txt	1	0.00	0.00
207.txt	1	9.09	0.00
64.txt	1	42.86	0.00
70.txt	1	0.00	8.33
58.txt	1	0.00	0.00
159.txt	1	50.00	0.00
165.txt	1	33.33	0.00
171.txt	1	50.00	0.00
398.txt	1	0.00	0.00
429.txt	1	40.00	0.00
401.txt	1	0.00	0.00
367.txt	1	22.22	0.00
373.txt	1	50.00	0.00
415.txt	1	10.00	0.00
372.txt	1	0.00	0.00
414.txt	1	0.00	100.00
400.txt	1	66.67	0.00
366.txt	1	0.00	0.00
428.txt	1	0.00	0.00
399.txt	1	9.09	0.00
170.txt	1	0.00	0.00
164.txt	1	66.67	0.00
158.txt	1	0.00	0.00
59.txt	1	14.29	0.00
71.txt	1	0.00	0.00
65.txt	1	50.00	0.00
206.txt	1	0.00	0.00
212.txt	1	66.67	0.00
238.txt	1	33.33	0.00
204.txt	1	0.00	0.00
210.txt	1	14.29	0.00
73.txt	1	0.00	0.00
67.txt	1	42.86	0.00
